parcel_id,city,lot_sqft,zoning
004200080159,Cincinnati,7797.24,510
050003400327,Cincinnati,7666.5599999999995,510
050003400334,Cincinnati,7361.64,510
050003400337,Cincinnati,9234.72,510
050003400338,Cincinnati,9844.56,510
050003400339,Cincinnati,11107.800000000001,510
065100330089,Cincinnati,2918.52,400
052500240027,Cincinnati,39857.4,510
052500210036,Cincinnati,245765.52000000002,412
052500260014,Cincinnati,55364.759999999995,500
016600030005,Cincinnati,11848.320000000002,510
016600030007,Cincinnati,10149.480000000001,510
016600030008,Cincinnati,10105.92,510
016600030009,Cincinnati,3092.7599999999998,510
016600030162,Cincinnati,12632.4,510
016600030163,Cincinnati,2047.32,500
050003330100,Cincinnati,26353.8,510
050003330101,Cincinnati,27225.0,510
050003330102,Cincinnati,20298.960000000003,510
050003330103,Cincinnati,22215.600000000002,510
050003400003,Cincinnati,18208.079999999998,510
050003400008,Cincinnati,12109.68,510
050003400020,Cincinnati,13155.119999999999,510
050003400022,Cincinnati,7405.200000000001,510
050003400035,Cincinnati,6926.04,510
050003400036,Cincinnati,6708.24,510
050003400341,Cincinnati,8581.32,510
050003400344,Cincinnati,13155.119999999999,510
050003400345,Cincinnati,14374.800000000001,510
050003400347,Cincinnati,10759.32,510
050003400349,Cincinnati,10149.480000000001,510
050003400352,Cincinnati,566.28,508
052901400059,Cincinnati,87.12,500
052901400012,Cincinnati,57107.159999999996,510
050003400357,Cincinnati,304.92,508
024700050269,Cincinnati,19689.12,403
024700050160,Cincinnati,6098.400000000001,510
024700050158,Cincinnati,6621.12,510
003900060008,Cincinnati,8624.880000000001,510
004200080125,Cincinnati,5749.92,510
065100410115,Cincinnati,1189231.5599999998,426
004200080114,Cincinnati,6141.959999999999,510
004200080041,Cincinnati,6141.959999999999,510
050003400037,Cincinnati,7100.280000000001,510
050003400043,Cincinnati,7971.48,510
050003400044,Cincinnati,7492.32,510
050003400045,Cincinnati,7535.879999999999,510
050003400046,Cincinnati,7318.080000000001,510
050003400047,Cincinnati,7448.76,510
050003400048,Cincinnati,7753.679999999999,510
050003400049,Cincinnati,7666.5599999999995,510
050003400050,Cincinnati,7318.080000000001,510
050003400060,Cincinnati,12327.48,510
004200080047,Cincinnati,6403.32,510
050003400360,Cincinnati,392.03999999999996,508
004200080121,Cincinnati,5488.56,510
050003400363,Cincinnati,261.36,508
050003400366,Cincinnati,435.6,508
006500010075,Cincinnati,2613.6,610
006500010171,Cincinnati,5662.8,610
050003400370,Cincinnati,1306.8,630
006500010177,Cincinnati,914.7600000000001,508
003900060010,Cincinnati,6272.639999999999,499
003900060011,Cincinnati,8058.599999999999,510
003900060014,Cincinnati,3005.6400000000003,510
003900060018,Cincinnati,4443.12,510
003900060021,Cincinnati,5009.400000000001,520
003900060034,Cincinnati,6446.88,510
003900060035,Cincinnati,6621.12,510
003900060036,Cincinnati,6882.4800000000005,510
003900060039,Cincinnati,5924.160000000001,510
003900060040,Cincinnati,6621.12,510
003900060042,Cincinnati,6054.84,510
004200080118,Cincinnati,13068.0,510
065100410285,Cincinnati,53535.240000000005,640
004200080116,Cincinnati,9801.0,510
004200080109,Cincinnati,9060.48,510
004200080106,Cincinnati,6359.759999999999,510
004200080044,Cincinnati,6141.959999999999,510
004200080104,Cincinnati,6141.959999999999,510
050003400279,Cincinnati,5619.24,630
050003400321,Cincinnati,7448.76,510
015900690099,Cincinnati,3441.2400000000002,500
000200080059,Cincinnati,7579.44,510
000200080060,Cincinnati,7361.64,510
000200080061,Cincinnati,9147.6,510
003900060043,Cincinnati,6446.88,510
003900060049,Cincinnati,8102.16,510
003900060056,Cincinnati,6403.32,520
003900060085,Cincinnati,3049.2000000000003,510
003900060150,Cincinnati,6577.5599999999995,510
003900060155,Cincinnati,3659.0400000000004,520
003900060157,Cincinnati,3789.72,520
003900060161,Cincinnati,3528.36,520
003900060006,Cincinnati,8799.12,520
019700370055,Cincinnati,4181.76,510
050002720262,Cincinnati,6141.959999999999,510
004200080030,Cincinnati,5619.24,510
004200100007,Cincinnati,1785.96,610
004200080113,Cincinnati,5880.6,510
000200070052,Cincinnati,8581.32,510
000200070053,Cincinnati,7710.12,510
000200070054,Cincinnati,6490.44,510
000200070055,Cincinnati,7840.799999999999,510
015900690100,Cincinnati,3092.7599999999998,510
015900690101,Cincinnati,4094.64,500
015900690102,Cincinnati,3136.3199999999997,510
015900690103,Cincinnati,3049.2000000000003,500
004200080160,Cincinnati,6011.280000000001,500
004200080028,Cincinnati,6882.4800000000005,510
051001110283,Cincinnati,31058.28,610
050003410026,Cincinnati,7361.64,510
050003410033,Cincinnati,28662.48,455
050003410035,Cincinnati,16509.24,510
050003410036,Cincinnati,28052.64,510
050003410037,Cincinnati,26658.72,510
050003410038,Cincinnati,13111.56,510
050003410039,Cincinnati,11979.000000000002,510
050003410040,Cincinnati,15158.88,510
050003410041,Cincinnati,32365.079999999998,510
050003410042,Cincinnati,43516.44,510
050003410043,Cincinnati,10410.84,510
050002720263,Cincinnati,6011.280000000001,510
050002720264,Cincinnati,6011.280000000001,510
050002720265,Cincinnati,6011.280000000001,510
050002720266,Cincinnati,6054.84,510
050002720268,Cincinnati,9713.880000000001,500
004200080026,Cincinnati,5357.88,510
050002720314,Cincinnati,2395.8,500
004200080112,Cincinnati,5706.360000000001,510
004200080141,Cincinnati,6403.32,510
004200080022,Cincinnati,5532.12,510
004200080043,Cincinnati,6141.959999999999,510
004200080059,Cincinnati,6577.5599999999995,510
004200080034,Cincinnati,6272.639999999999,510
004200080105,Cincinnati,7797.24,510
004200080074,Cincinnati,14723.28,510
051001120429,Cincinnati,5445.0,510
022700010068,Cincinnati,36329.04,510
022700010069,Cincinnati,34717.32,510
022700010104,Cincinnati,37722.96,510
022700010108,Cincinnati,45563.76,403
022700010109,Cincinnati,57063.600000000006,403
055001830531,Cincinnati,457118.64,425
052500020173,Cincinnati,14418.36,510
052500020174,Cincinnati,13852.08,510
052500020175,Cincinnati,8407.08,510
052500020203,Cincinnati,6403.32,510
